,title,type,address,price,built_area,private_area,status,bedrooms,bathrooms,parking_slots,finishes,stratum,developers,country,city,zone
191,áttico 123,apartaestudio en venta en bogotá,carrera 7 bis a no. 123 - 05,349412000,37.32,33.97,sobre planos,1,1,1,con acabados,5,ambientti constructora inmobiliaria s.a,colombia,bogota,norte
192,nqs 67,apartamento en venta en bogotá,ak 30 no. 67 - 35,275076792,33.71,29.73,sobre planos,1,1,,con acabados,3,compensar,colombia,bogota,norte
193,akai 95,apartamento en venta en bogotá,calle 95 no 19a - 09,806984724,82.0,71.0,en construcción,2,3,2,con acabados,6,alcabama,colombia,bogota,norte
194,nogal,apartamento en venta en bogotá,calle 235 no. 52 - 50,843500000,128.0,113.0,sobre planos,3,3,,con acabados,3,amarilo,colombia,bogota,norte
195,áttico 123,apartamento en venta en bogotá,carrera 7 bis a no. 123 - 05,561245000,57.12,53.45,sobre planos,2,2,1,con acabados,5,ambientti constructora inmobiliaria s.a,colombia,bogota,norte
196,estación 59,apartamento en venta en bogotá,calle 59 no. 10 - 38,224562000,28.79,24.95,sobre planos,1,1,,con acabados,3,dyc proyectos,colombia,bogota,norte
197,alameda 170,apartamento en venta en bogotá,carrera 15 no. 170 - 91,535000000,97.0,85.0,sobre planos,3,2,,con acabados,4,amarilo,colombia,bogota,norte
198,primera este,apartamento en venta en bogotá,calle 60a no. 1a - 75,485779000,55.25,48.24,sobre planos,1,2,1,con acabados,5,ic constructora,colombia,bogota,norte
199,nqs 67,apartaestudio en venta en bogotá,ak 30 no. 67 - 35,277465402,32.96,28.04,sobre planos,1,1,,con acabados,3,compensar,colombia,bogota,norte
200,view 63,apartamento en venta en bogotá,calle 64 no. 1 – 15,245000000,30.5,27.4,sobre planos,1,1,comunal,con acabados,4,cusezar,colombia,bogota,norte
201,nogal,apartamento en venta en bogotá,calle 235 no. 52 - 50,497600000,75.0,66.0,sobre planos,2,2,,obra gris,3,amarilo,colombia,bogota,norte
202,natura 128,apartamento en venta en bogotá,calle 128 no. 7d - 04,849984621,105.04,95.92,sobre planos,3,3,2,con acabados,5,metrika construcciones s.a.s,colombia,bogota,norte
203,cenit de la cabrera,apartaestudio en venta en bogotá,transversal 5 no. 86 - 91,673000000,62.13,56.98,terminado,1,2,2,con acabados,6,colombiana de edificaciones,colombia,bogota,norte
204,natura 128,apartaestudio en venta en bogotá,calle 128 no. 7d - 04,380550721,46.41,42.61,sobre planos,1,2,1,con acabados,5,metrika construcciones s.a.s,colombia,bogota,norte
205,heroes 79 st,apartamento en venta en bogotá,carrera 19a no. 78 - 20,203550000,25.0,21.96,sobre planos,1,1,comunal,con acabados,4,buenvivir,colombia,bogota,norte
206,séptima avenida,apartamento en venta en bogotá,carrera 7 no. 158 - 51,320700000,48.9,44.1,en construcción,1,2,1,con acabados,4,umbral propiedad raíz,colombia,bogota,norte
207,primera este,apartamento en venta en bogotá,calle 60a no. 1a - 75,350742000,44.81,42.01,sobre planos,1,2,1,con acabados,5,ic constructora,colombia,bogota,norte
208,akai 95,apartamento en venta en bogotá,calle 95 no 19a - 09,696422742,69.0,66.0,en construcción,2,3,1,con acabados,6,alcabama,colombia,bogota,norte
209,akai 95,apartamento en venta en bogotá,calle 95 no 19a - 09,696422742,69.0,60.0,en construcción,2,3,1,con acabados,6,alcabama,colombia,bogota,norte
210,natura 128,apartamento en venta en bogotá,calle 128 no. 7d - 04,1584397120,185.79,170.32,sobre planos,4,5,3,con acabados,5,metrika construcciones s.a.s,colombia,bogota,norte
211,séptima avenida,apartamento en venta en bogotá,carrera 7 no. 158 - 51,461700000,75.8,70.2,en construcción,3,2,1,con acabados,4,umbral propiedad raíz,colombia,bogota,norte
212,urbano 48,apartaestudio en venta en bogotá,carrera 15 no. 48 - 15,182000000,20.97,17.5,sobre planos,1,1,comunal,con acabados,3,ar construcciones,colombia,bogota,norte
213,estación 59,apartaestudio en venta en bogotá,calle 59 no. 10 - 38,492215625,52.93,47.9,sobre planos,1,1,1,con acabados,3,dyc proyectos,colombia,bogota,norte
214,primera este,apartaestudio en venta en bogotá,calle 60a no. 1a - 75,485779000,55.25,48.24,sobre planos,1,2,1,con acabados,5,ic constructora,colombia,bogota,norte
215,nqs 67,apartaestudio en venta en bogotá,ak 30 no. 67 - 35,257619821,30.6,25.58,sobre planos,1,1,,con acabados,3,compensar,colombia,bogota,norte
216,menta,apartamento en venta en bogotá,carrera 7a no. 146a - 89,817000000,105.57,93.45,sobre planos,3,3,2,con acabados,4,umbral propiedad raíz,colombia,bogota,norte
217,séptima avenida,apartaestudio en venta en bogotá,carrera 7 no. 158 - 51,320700000,48.9,44.1,en construcción,1,2,1,con acabados,4,umbral propiedad raíz,colombia,bogota,norte
218,cedro,apartamento en venta en bogotá,calle 235 no. 52 - 50,450700000,78.0,68.0,en construcción,3,2,comunal,obra gris,4,amarilo,colombia,bogota,norte
219,menta,apartamento en venta en bogotá,carrera 7a no. 146a - 89,807000000,107.8,96.83,sobre planos,3,3,2,con acabados,4,umbral propiedad raíz,colombia,bogota,norte
220,akai 95,apartaestudio en venta en bogotá,calle 95 no 19a - 09,475000000,50.0,42.0,en construcción,1,2,1,con acabados,6,alcabama,colombia,bogota,norte
221,urbano 48,apartaestudio en venta en bogotá,carrera 15 no. 48 - 15,182000000,27.64,24.5,sobre planos,1,1,comunal,con acabados,3,ar construcciones,colombia,bogota,norte
222,áttico 123,apartamento en venta en bogotá,carrera 7 bis a no. 123 - 05,656440000,66.07,60.99,sobre planos,2,2,1,con acabados,5,ambientti constructora inmobiliaria s.a,colombia,bogota,norte
223,orquidea,apartamento en venta en bogotá,"calle 201 no. 49 - 33, bogotá",522400000,86.0,76.0,terminado,3,2,comunal,con semiacabados,4,amarilo,colombia,bogota,norte
224,nqs 67,apartamento en venta en bogotá,ak 30 no. 67 - 35,252883873,30.6,25.58,sobre planos,1,1,,con acabados,3,compensar,colombia,bogota,norte
225,mava 13-66,apartamento en venta en bogotá,carrera 13 66 - 26,485124000,54.85,50.16,sobre planos,2,2,1,con acabados,3,constructora ospina asociados,colombia,bogota,norte
226,cedro,apartaestudio en venta en bogotá,calle 235 no. 52 - 50,286400000,48.0,40.0,en construcción,1,1,comunal,obra gris,4,amarilo,colombia,bogota,norte
227,ciudad la salle loira,apartamento en venta en bogotá,calle 170 con cra 9 costado norte (al lado del colegio de la salle),170130000,30.6,25.49,sobre planos,1,1,comunal,obra gris,3,marval,colombia,bogota,norte
228,nogal,apartamento en venta en bogotá,calle 235 no. 52 - 50,802600000,127.0,113.0,sobre planos,3,4,,con acabados,3,amarilo,colombia,bogota,norte
229,urbano 48,apartamento en venta en bogotá,carrera 15 no. 48 - 15,182000000,20.97,17.5,sobre planos,1,1,comunal,con acabados,3,ar construcciones,colombia,bogota,norte
230,estación 59,apartamento en venta en bogotá,calle 59 no. 10 - 38,174590000,22.1,19.29,sobre planos,1,1,,con acabados,3,dyc proyectos,colombia,bogota,norte
231,nqs 67,apartamento en venta en bogotá,ak 30 no. 67 - 35,279165803,32.96,28.04,sobre planos,1,1,,con acabados,3,compensar,colombia,bogota,norte
232,menta,apartamento en venta en bogotá,carrera 7a no. 146a - 89,739000000,93.0,86.16,sobre planos,3,2,2,con acabados,4,umbral propiedad raíz,colombia,bogota,norte
233,séptima avenida,apartamento en venta en bogotá,carrera 7 no. 158 - 51,423700000,71.8,65.5,en construcción,3,2,1,con acabados,4,umbral propiedad raíz,colombia,bogota,norte
234,akai 95,apartamento en venta en bogotá,calle 95 no 19a - 09,475000000,50.0,42.0,en construcción,1,2,1,con acabados,6,alcabama,colombia,bogota,norte
235,artek home,apartamento en venta en bogotá,carrera 18 no. 93 - 55,691405000,75.0,68.0,sobre planos,1,2,1,con acabados,6,residere sas,colombia,bogota,norte
236,provenza prestige,apartamento en venta en bogotá,cra 58 no. 119a - 49,632029000,75.72,65.24,en construcción,2,2,1,con acabados,5,marval,colombia,bogota,noroccidente
237,baviera,apartamento en venta en bogotá,"avenida boyacá no. 170, san josé de bavaria",486224000,65.57,59.88,en construcción,3,3,1,con acabados,5,marval,colombia,bogota,noroccidente
238,torreladera bosque reservado etapa 2,apartamento en venta en bogotá,carrera 80 no. 151 - 31,949990000,113.0,105.0,sobre planos,3,3,3,con acabados,6,ar construcciones,colombia,bogota,noroccidente
239,alejandría vintage,apartamento en venta en bogotá,carrera 54 con calle 153 esquina,739670000,119.5,109.1,en construcción,4,4,2,con acabados,5,acierto inmobiliario,colombia,bogota,noroccidente
240,saviia,apartamento en venta en zipaquirá,calle 6 con carrera 28 barrio las villas,222900000,70.5,63.5,sobre planos,3,2,1,sin acabados,4,tecnourbana,colombia,bogota,noroccidente
241,luar,apartamento en venta en bogotá,carrera 58 no. 151 - 31,718100000,98.0,89.5,sobre planos,3,3,2,con acabados,5,cusezar,colombia,bogota,noroccidente
242,tekto castellana,apartamento en venta en bogotá,carrera 49c no.91 - 88,148258985,18.25,16.43,sobre planos,1,1,,obra gris,4,proksol,colombia,bogota,noroccidente
243,provenza prestige,apartamento en venta en bogotá,cra 58 no. 119a - 49,975823000,118.1,107.42,en construcción,3,2,2,con acabados,5,marval,colombia,bogota,noroccidente
244,mediterráneo alejandría,apartamento en venta en bogotá,carrera 50 no. 152 - 57,797000000,135.5,117.0,en construcción,3,3,2,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
245,mediterráneo alejandría,apartamento en venta en bogotá,carrera 50 no. 152 - 57,381300000,61.0,56.5,en construcción,2,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
246,ciien,apartamento en venta en bogotá,calle 100 no. 50 - 80,713500000,91.0,83.0,en construcción,3,3,1,con acabados,5,alcabama,colombia,bogota,noroccidente
247,luar,apartamento en venta en bogotá,carrera 58 no. 151 - 31,305630000,34.0,30.77,sobre planos,1,1,1,con acabados,5,cusezar,colombia,bogota,noroccidente
248,provenza imperial,apartamento en venta en bogotá,cra 57 no. 119a - 60,1338409000,172.5,156.09,terminado,3,5,2,con acabados,5,marval,colombia,bogota,noroccidente
249,alejandría vintage,apartamento en venta en bogotá,carrera 54 con calle 153 esquina,998779405,149.3,137.8,en construcción,4,5,1,con acabados,5,acierto inmobiliario,colombia,bogota,noroccidente
250,mediterráneo alejandría,apartamento en venta en bogotá,carrera 50 no. 152 - 57,500668000,85.5,74.0,en construcción,3,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
251,torreladera bosque reservado etapa 2,apartamento en venta en bogotá,carrera 80 no. 151 - 31,2249990000,177.0,165.5,sobre planos,4,5,3,con acabados,6,ar construcciones,colombia,bogota,noroccidente
252,torres de galicia,apartamento en venta en bogotá,calle 139 no. 94 - 18,191197507,36.23,31.24,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
253,alejandría vintage,apartamento en venta en bogotá,carrera 54 con calle 153 esquina,551096423,77.05,68.5,en construcción,3,2,2,con acabados,5,acierto inmobiliario,colombia,bogota,noroccidente
254,ciien,apartamento en venta en bogotá,calle 100 no. 50 - 80,559100000,63.0,62.0,en construcción,2,2,1,con acabados,5,alcabama,colombia,bogota,noroccidente
255,luar,apartamento en venta en bogotá,carrera 58 no. 151 - 31,872810000,108.0,99.05,sobre planos,3,3,2,con acabados,5,cusezar,colombia,bogota,noroccidente
256,alejandría vintage,apartamento en venta en bogotá,carrera 54 con calle 153 esquina,739670000,119.5,109.1,en construcción,4,4,2,con acabados,5,acierto inmobiliario,colombia,bogota,noroccidente
257,entreverde club,apartamento en venta en bogotá,calle 176 no. 52 - 05,312840000,57.0,49.0,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
258,tekto castellana,apartaestudio en venta en bogotá,carrera 49c no.91 - 88,148258985,18.25,16.43,sobre planos,1,1,,obra gris,4,proksol,colombia,bogota,noroccidente
259,veramonte ébano,apartamento en venta en bogotá,calle 153 no 73 - 32,357000000,51.0,46.0,sobre planos,1,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
260,alejandría vintage,apartamento en venta en bogotá,carrera 54 con calle 153 esquina,563303532,79.4,72.3,en construcción,3,2,1,con acabados,5,acierto inmobiliario,colombia,bogota,noroccidente
261,entreverde club,apartaestudio en venta en bogotá,calle 176 no. 52 - 05,312840000,57.0,49.0,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
262,torres de galicia,apartaestudio en venta en bogotá,calle 139 no. 94 - 18,163883578,30.61,25.48,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
263,veramonte - álamo,apartamento en venta en bogotá,calle 153 con boyacá - al frente del arturo calle,429600300,60.0,49.0,sobre planos,2,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
264,luar,apartamento en venta en bogotá,carrera 58 no. 151 - 31,718100000,98.0,89.5,sobre planos,3,3,2,con acabados,5,cusezar,colombia,bogota,noroccidente
265,provenza imperial,apartamento en venta en bogotá,cra 57 no. 119a - 60,1459061000,167.94,152.29,terminado,3,4,2,con acabados,5,marval,colombia,bogota,noroccidente
266,ciien,apartamento en venta en bogotá,calle 100 no. 50 - 80,747200000,104.0,96.0,en construcción,3,3,1,con acabados,5,alcabama,colombia,bogota,noroccidente
267,torreladera bosque reservado etapa 2,apartamento en venta en bogotá,carrera 80 no. 151 - 31,1354499990,165.0,154.0,sobre planos,4,5,3,con acabados,6,ar construcciones,colombia,bogota,noroccidente
268,veramonte - álamo,apartamento en venta en bogotá,calle 153 con boyacá - al frente del arturo calle,646992100,89.0,72.0,sobre planos,3,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
269,torreladera bosque reservado etapa 2,apartamento en venta en bogotá,carrera 80 no. 151 - 31,949990000,113.0,105.0,sobre planos,3,3,3,con acabados,6,ar construcciones,colombia,bogota,noroccidente
270,zibal - tramonte,apartamento en venta en bogotá,calle 183 con avenida san antonio,460000000,72.6,61.08,sobre planos,3,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
271,torreladera bosque reservado etapa 2,apartamento en venta en bogotá,carrera 80 no. 151 - 31,1771499990,212.0,200.5,sobre planos,4,5,3,con acabados,6,ar construcciones,colombia,bogota,noroccidente
272,ferrara,apartamento en venta en bogotá,carrera 106a no. 154a - 46,164000000,35.55,31.01,sobre planos,2,1,comunal,con acabados,3,coninsa ramón h,colombia,bogota,noroccidente
273,entreverde club,apartamento en venta en bogotá,calle 176 no. 52 - 05,309237000,56.69,49.73,sobre planos,2,2,1,con acabados,4,residere sas,colombia,bogota,noroccidente
274,ferrara,apartamento en venta en bogotá,carrera 106a no. 154a - 46,164000000,32.64,26.5,sobre planos,2,1,comunal,con acabados,3,coninsa ramón h,colombia,bogota,noroccidente
275,baviera,apartamento en venta en bogotá,"avenida boyacá no. 170, san josé de bavaria",594331000,81.72,73.95,en construcción,3,2,1,con acabados,5,marval,colombia,bogota,noroccidente
276,torres de galicia,apartaestudio en venta en bogotá,calle 139 no. 94 - 18,191197507,36.23,31.24,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
277,veramonte - álamo,apartamento en venta en bogotá,calle 153 con boyacá - al frente del arturo calle,623505000,84.5,70.0,sobre planos,3,2,1,con semiacabados,4,constructora bolívar,colombia,bogota,noroccidente
278,torres de galicia,apartaestudio en venta en bogotá,calle 139 no. 94 - 18,163883578,31.32,26.79,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
279,ferrara,apartamento en venta en bogotá,carrera 106a no. 154a - 46,164000000,36.98,30.47,sobre planos,2,1,comunal,con acabados,3,coninsa ramón h,colombia,bogota,noroccidente
280,tramonte living,apartamento en venta en bogotá,carrera 50 no. 152 - 57,340000000,56.0,49.0,sobre planos,2,2,1,sin acabados,4,constructora bolívar,colombia,bogota,noroccidente
281,provenza prestige,apartamento en venta en bogotá,cra 58 no. 119a - 49,933750000,119.21,107.55,en construcción,3,3,2,con acabados,5,marval,colombia,bogota,noroccidente
282,elementum reserva residencial,apartamento en venta en bogotá,carrera 97a no 158-80,150000000,38.08,34.35,sobre planos,1,1,comunal,con semiacabados,3,compacta sas,colombia,bogota,noroccidente
283,baviera,apartamento en venta en bogotá,"avenida boyacá no. 170, san josé de bavaria",486224000,65.57,59.88,en construcción,3,3,1,con acabados,5,marval,colombia,bogota,noroccidente
284,torres de galicia,apartamento en venta en bogotá,calle 139 no. 94 - 18,163883578,30.61,25.48,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
285,luar,apartaestudio en venta en bogotá,carrera 58 no. 151 - 31,305630000,34.0,30.77,sobre planos,1,1,1,con acabados,5,cusezar,colombia,bogota,noroccidente
286,veramonte olmo,apartamento en venta en bogotá,calle 153 no. 73 - 32,389254000,66.0,60.0,sobre planos,3,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
287,zibal - tramonte,apartamento en venta en bogotá,calle 183 con avenida san antonio,620000000,92.6,80.4,sobre planos,3,3,2,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
288,elementum reserva residencial,apartaestudio en venta en bogotá,carrera 97a no 158-80,150000000,38.08,34.35,sobre planos,1,1,comunal,con semiacabados,3,compacta sas,colombia,bogota,noroccidente
289,elementum reserva residencial,apartamento en venta en bogotá,carrera 97a no 158-80,155900000,38.58,35.53,sobre planos,2,1,comunal,con semiacabados,3,compacta sas,colombia,bogota,noroccidente
290,entreverde club,apartaestudio en venta en bogotá,calle 176 no. 52 - 05,164000000,26.98,23.36,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
291,castellana tower 100,apartaestudio en venta en bogotá,carrera 49 no. 99 - 23,247000000,28.0,26.0,terminado,1,1,,con acabados,5,contein,colombia,bogota,noroccidente
292,veramonte ébano,apartamento en venta en bogotá,calle 153 no 73 - 32,816357002,123.0,110.0,sobre planos,3,4,2,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
293,baviera,apartamento en venta en bogotá,"avenida boyacá no. 170, san josé de bavaria",966189000,148.83,134.17,en construcción,3,4,1,con acabados,5,marval,colombia,bogota,noroccidente
294,entreverde club,apartamento en venta en bogotá,calle 176 no. 52 - 05,164000000,26.98,23.36,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
295,veramonte ébano,apartaestudio en venta en bogotá,calle 153 no 73 - 32,357000000,51.0,46.0,sobre planos,1,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
296,veramonte ébano,apartamento en venta en bogotá,calle 153 no 73 - 32,506045000,73.0,67.0,sobre planos,2,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
297,torres de galicia,apartaestudio en venta en bogotá,calle 139 no. 94 - 18,163883578,30.64,26.18,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
298,veramonte - álamo,apartamento en venta en bogotá,calle 153 con boyacá - al frente del arturo calle,519222300,69.5,56.0,sobre planos,3,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
299,elementum reserva residencial,apartamento en venta en bogotá,carrera 97a no 158-80,155900000,38.97,35.04,sobre planos,2,1,comunal,con semiacabados,3,compacta sas,colombia,bogota,noroccidente
300,provenza prestige,apartamento en venta en bogotá,cra 58 no. 119a - 49,632029000,75.72,65.24,en construcción,2,2,1,con acabados,5,marval,colombia,bogota,noroccidente
301,carrá,apartamento en venta en bogotá,carrera 58 no. 151 - 31,2421900000,278.8,258.3,en construcción,3,4,3,con acabados,5,cusezar,colombia,bogota,noroccidente
302,entreverde club,apartaestudio en venta en bogotá,calle 176 no. 52 - 05,164000000,27.67,23.25,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
303,veramonte ébano,apartamento en venta en bogotá,calle 153 no 73 - 32,563186661,81.0,73.0,sobre planos,3,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
304,veramonte ébano,apartamento en venta en bogotá,calle 153 no 73 - 32,656975960,96.0,86.0,sobre planos,3,2,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
305,torres de galicia,apartamento en venta en bogotá,calle 139 no. 94 - 18,163883578,30.64,26.18,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
306,carrá,apartamento en venta en bogotá,carrera 58 no. 151 - 31,1108710000,141.1,127.93,en construcción,3,4,3,con acabados,5,cusezar,colombia,bogota,noroccidente
307,luar,apartamento en venta en bogotá,carrera 58 no. 151 - 31,548050000,71.99,62.56,sobre planos,2,2,1,con acabados,5,cusezar,colombia,bogota,noroccidente
308,tramonte living,apartamento en venta en bogotá,carrera 50 no. 152 - 57,178700000,38.0,33.0,sobre planos,2,1,comunal,sin acabados,4,constructora bolívar,colombia,bogota,noroccidente
309,torres del jordán,apartamento en venta en bogotá,calle 128 no. 88b - 10 suba - rincón,148400000,37.74,32.59,sobre planos,2,1,comunal,obra gris,3,vavilco,colombia,bogota,noroccidente
310,luar,apartamento en venta en bogotá,carrera 58 no. 151 - 31,997890000,137.0,125.05,sobre planos,3,4,2,con acabados,5,cusezar,colombia,bogota,noroccidente
311,torres de galicia,apartamento en venta en bogotá,calle 139 no. 94 - 18,163883578,31.32,26.79,sobre planos,1,1,comunal,con semiacabados,3,compensar,colombia,bogota,noroccidente
312,veramonte - natura living,apartamento en venta en bogotá,calle 153 no. 73 - 32,298500000,49.0,44.0,sobre planos,2,2,1,sin acabados,4,constructora bolívar,colombia,bogota,noroccidente
313,entreverde club,apartamento en venta en bogotá,calle 176 no. 52 - 05,164000000,27.67,23.25,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
314,veramonte ébano,apartamento en venta en bogotá,calle 153 no 73 - 32,594181854,84.0,73.0,sobre planos,3,3,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
315,entreverde club,apartaestudio en venta en bogotá,calle 176 no. 52 - 05,164000000,32.03,23.98,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
316,provenza prestige,apartamento en venta en bogotá,cra 58 no. 119a - 49,841964000,99.41,91.17,en construcción,3,2,2,con acabados,5,marval,colombia,bogota,noroccidente
317,castellana tower 100,apartamento en venta en bogotá,carrera 49 no. 99 - 23,247000000,28.0,26.0,terminado,1,1,,con acabados,5,contein,colombia,bogota,noroccidente
318,castellana tower 100,apartamento en venta en bogotá,carrera 49 no. 99 - 23,490000000,60.0,54.0,terminado,2,2,1,con acabados,5,contein,colombia,bogota,noroccidente
319,zibal - tramonte,apartamento en venta en bogotá,calle 183 con avenida san antonio,520000000,83.6,70.2,sobre planos,3,3,1,con acabados,4,constructora bolívar,colombia,bogota,noroccidente
320,torreladera bosque reservado etapa 2,apartamento en venta en bogotá,carrera 80 no. 151 - 31,1499990000,125.0,116.0,sobre planos,3,3,3,con acabados,6,ar construcciones,colombia,bogota,noroccidente
321,entreverde club,apartamento en venta en bogotá,calle 176 no. 52 - 05,164000000,32.03,23.98,sobre planos,1,1,,con acabados,4,residere sas,colombia,bogota,noroccidente
322,ciien,apartamento en venta en bogotá,calle 100 no. 50 - 80,516100000,64.0,60.0,en construcción,2,2,1,con acabados,5,alcabama,colombia,bogota,noroccidente
323,castilla living,apartamento en venta en bogotá,cra 86 no. 7d - 30,150000000,38.0,34.0,sobre planos,2,1,comunal,sin acabados,3,ic constructora,colombia,bogota,occidente
324,gregal,apartamento en venta en bogotá,carrera 68d no. 21 – 35,403040000,64.55,56.8,sobre planos,2,2,1,con acabados,Por definir,cusezar,colombia,bogota,occidente
325,cuatro vientos - austro,apartamento en venta en bogotá,carrera 68d no. 19 - 38,445023000,68.0,58.0,sobre planos,3,2,1,sin acabados,4,constructora bolívar,colombia,bogota,occidente
326,lorca,apartamento en venta en bogotá,"avenida carrera 86 & calle 9, bogotá",204913000,50.13,43.8,sobre planos,2,2,,con semiacabados,3,marval,colombia,bogota,occidente
327,gran reserva de syrah,apartamento en venta en bogotá,carrera 70 no. 26 - 51,1327920000,133.5,118.1,sobre planos,3,3,2,con acabados,5,cusezar,colombia,bogota,occidente
328,la terra alsacia reservado,apartamento en venta en bogotá,carrera 71b bis con calle 12c esquina costado sur oriente barrio alsacia,443750000,78.35,69.44,sobre planos,3,2,1,con acabados,4,marval,colombia,bogota,occidente
329,izola zentral,apartamento en venta en bogotá,"calle 13 av boyaca, frente al c.c multiplaza",391833000,62.75,52.28,en construcción,3,2,1,con acabados,4,marval,colombia,bogota,occidente
330,gran reserva de valdivia,apartamento en venta en bogotá,av. eldorado con av. rojas. costado sur - occidental,1233930000,133.36,118.9,en construcción,3,4,2,con acabados,5,cusezar,colombia,bogota,occidente
331,malaga castilla reservado,apartamento en venta en bogotá,carrera 89 b bis no. 8 - 25,340845000,78.17,70.55,en construcción,3,2,1,con acabados,3,marval,colombia,bogota,occidente
332,iconik68,apartamento en venta en bogotá,carrera 68 no. 5 - 17,417585000,68.19,60.83,sobre planos,3,2,1,con acabados,4,constructora capital bogotá,colombia,bogota,occidente
333,edificio torre angie paris,apartamento en venta en bogotá,diagonal 87 bis no. 77 - 65,215000000,53.66,,sobre planos,2,2,,con acabados,4,pco proyectos de construccion y obras civiles s.a.s.,colombia,bogota,occidente
334,gran reserva de mallorca,apartamento en venta en bogotá,av. eldorado con av. rojas costado sur occidental,457240000,50.5,46.3,sobre planos,1,1,1,con acabados,5,cusezar,colombia,bogota,occidente
335,ciprés de la florida,apartamento en venta en bogotá,calle 80 no. 114 – 17,466800000,96.7,86.06,en construcción,3,3,1,con acabados,3,prodesa,colombia,bogota,occidente
336,gran reserva de mallorca,apartamento en venta en bogotá,av. eldorado con av. rojas costado sur occidental,1066830000,120.5,110.0,sobre planos,3,3,2,con acabados,5,cusezar,colombia,bogota,occidente
337,gran reserva de mallorca,apartamento en venta en bogotá,av. eldorado con av. rojas costado sur occidental,350480000,35.5,32.0,sobre planos,1,1,1,con acabados,5,cusezar,colombia,bogota,occidente
338,la almeria alsacia reservado,apartamento en venta en bogotá,carrera 71b bis con calle 12c esquina costado sur oriente barrio alsacia,422927000,68.95,57.37,sobre planos,3,2,1,con acabados,4,marval,colombia,bogota,occidente
339,akanti,apartamento en venta en bogotá,carrera 73 no. 36 - 30 sur,178693000,38.51,31.28,sobre planos,2,1,comunal,con acabados,3,alcabama,colombia,bogota,occidente
340,edificio torre angie paris,apartamento en venta en bogotá,diagonal 87 bis no. 77 - 65,275000000,67.52,,sobre planos,3,2,1,con acabados,4,pco proyectos de construccion y obras civiles s.a.s.,colombia,bogota,occidente
341,vissani apartamentos,apartamento en venta en bogotá,calle 26 no. 70a - 45,811532946,101.0,89.0,sobre planos,3,3,2,con acabados,5,ingeurbe,colombia,bogota,occidente
342,bonaire club residencial,apartamento en venta en bogotá,av. centenario no. 116 - 40,141000000,42.35,33.83,sobre planos,2,2,comunal,obra gris,3,buenvivir,colombia,bogota,occidente
343,cantabria,apartamento en venta en bogotá,avenida el dorado no. 78 - 20,550100000,72.0,62.0,en construcción,2,2,,con acabados,5,amarilo,colombia,bogota,occidente
344,la isla,apartamento en venta en bogotá,av. boyacá no. 21 -11,455100000,67.0,61.0,sobre planos,3,2,comunal,con acabados,4,amarilo,colombia,bogota,occidente
345,ciprés de la florida,apartamento en venta en bogotá,calle 80 no. 114 – 17,466800000,96.7,86.06,en construcción,3,3,1,con acabados,3,prodesa,colombia,bogota,occidente
346,avantcity -zencia apartamentos,apartamento en venta en bogotá,avenida dorado - calle 26 con carrera 82,1131965790,109.53,98.71,sobre planos,3,3,2,con acabados,5,ici inversiones y construcciones industrializadas,colombia,bogota,occidente
347,paseo de sevilla,apartamento en venta en bogotá,carrera 87b no. 6d - 10,286144000,67.41,61.41,en construcción,2,2,1,con acabados,3,marval,colombia,bogota,occidente
